Trait	Block	Hybrid	MPH
TLL	1	J92/OE2	23.8793806
MLW	1	JING724/J92	23.94366197
EH	1	OE1/J92	23.97841172
TLW	1	J92/JING724	24
EH	1	J92/OE1	24.02645114
MLW	1	OE1/J92	24.1025641
BLW	2	OE1/J92	24.17061611
TLL	1	J92/OE3	24.19700214
TSS	2	J92/OE2	24.21052632
BLW	2	OE1/J92	24.29906542
BSS	1	J92/JING724	24.30555556
BLW	2	OE1/J92	24.32432432
TLW	1	OE1/J92	24.37810945
TLW	1	OE1/J92	24.37810945
TSS	1	J92/OE1	24.3979471
BSS	2	OE1/J92	24.43220922
TSS	1	JING724/J92	24.50715114
TLL	2	JING724/J92	24.56985547
TLW	2	OE1/J92	24.63768116
TLW	2	OE1/J92	24.63768116
MLL	2	J92/OE2	24.70402526
MLW	2	OE1/J92	24.76190476
BSS	2	OE1/J92	24.77632485
BLW	2	JING724/J92	24.87804878
TLL	1	JING724/J92	24.9112846
EH	2	OE1/J92	25
EL	1	J92/OE2	25
TLL	1	JING724/J92	25.09534706
TSS	2	J92/OE1	25.09932631
MLW	1	J92/OE2	25.11848341
BLW	1	J92/JING724	25.12820513
BSS	1	J92/JING724	25.19362187
TLL	1	J92/JING724	25.38523925
TLL	1	J92/OE2	25.50937245
MLL	1	OE1/J92	25.51724138
EL	1	J92/JING724	25.58139535
MLL	1	J92/OE3	25.66137566
EH	1	OE1/J92	25.67463377
BLL	1	J92/JING724	25.71022727
EH	1	J92/OE3	25.7518797
TLW	2	OE1/J92	25.85365854
TSS	2	JING724/J92	25.87532024
BSS	1	J92/JING724	26.00863481
TSS	2	OE1/J92	26.02979842
BLW	2	J92/OE1	26.1682243
EH	2	OE1/J92	26.19760479
MLL	2	JING724/J92	26.30844382
TLW	1	J92/OE2	26.31578947
TLL	2	J92/OE3	26.37362637
TLL	1	J92/OE2	26.43678161
EL	1	J92/JING724	26.44628099
BLL	1	JING724/J92	26.45348837
EH	2	OE1/J92	26.49700599
MLL	1	OE1/J92	26.5474553
BLL	1	J92/OE3	26.5560166
MLW	1	OE1/J92	26.57004831
MLW	2	JING724/J92	26.63316583
EH	2	J92/OE2	26.73835125
BSS	1	OE1/J92	26.75121951
MLL	1	OE1/J92	26.76056338
BSS	2	OE1/J92	26.77219546
EL	1	JING724/J92	26.81912682
BLW	1	J92/JING724	26.88172043
EH	1	OE1/J92	26.90824981
BLL	2	J92/OE3	26.93298969
TSS	2	J92/OE3	26.99210337
BLW	2	J92/OE1	27.02702703
MLL	2	J92/OE1	27.05882353
MLL	1	J92/OE3	27.1076524
MLL	1	OE1/J92	27.11291413
MLW	1	OE1/J92	27.17948718
TLW	2	JING724/J92	27.17948718
TSS	1	OE1/J92	27.2579001
MLL	2	J92/OE3	27.32095491
MLW	2	OE1/J92	27.36318408
MLW	2	OE1/J92	27.36318408
BLL	2	J92/OE2	27.42175857
PH	2	OE1/J92	27.48573145
MLW	1	OE1/J92	27.53623188
TLL	1	J92/JING724	27.53623188
BLL	1	OE1/J92	27.54409769
TLL	1	J92/JING724	27.57830405
MLW	2	OE1/J92	27.61904762
BLL	2	J92/OE3	27.77053455
MLW	1	JING724/J92	27.80487805
MLL	1	OE1/J92	27.92297111
MLL	2	JING724/J92	27.92297111
TLL	2	J92/OE1	28.01330008
EL	1	J92/JING724	28.06652807
BSS	1	J92/JING724	28.07668522
BLL	1	OE1/J92	28.22252374
MLL	1	OE1/J92	28.27586207
BLW	1	J92/JING724	28.35820896
BSS	1	J92/OE3	28.40437571
TLW	1	J92/JING724	28.42105263
BLW	1	J92/OE2	28.43137255
MLL	1	OE1/J92	28.46517918
MLL	1	OE1/J92	28.46517918
MLL	1	OE1/J92	28.46517918
MLW	1	J92/JING724	28.50241546
BLL	1	J92/JING724	28.55113636
MLW	2	OE1/J92	28.57142857
TBN	1	JING724/J92	28.57142857
MSS	1	J92/OE1	28.57726901
TLW	2	J92/OE2	28.64321608
BLW	1	OE1/J92	28.64864865
MSS	1	J92/OE2	28.76764594
MLW	1	JING724/J92	28.7804878
BSS	1	J92/JING724	28.78740157
BLL	1	OE1/J92	28.9009498
BLW	2	J92/OE1	28.97196262
BLW	2	OE1/J92	28.97196262
MLW	2	JING724/J92	28.97196262
MLL	1	J92/OE2	29.03225806
EL	1	J92/OE2	29.07801418
MLL	1	J92/JING724	29.08309456
MSS	1	OE1/J92	29.08484624
MLL	1	JING724/J92	29.26136364
EL	1	JING724/J92	29.38596491
BLL	1	OE1/J92	29.41176471
MLL	2	J92/OE2	29.43962115
MLW	1	OE1/J92	29.46859903
MLW	1	OE1/J92	29.46859903
MLW	1	OE1/J92	29.46859903
BSS	2	J92/OE3	29.49056936
TLW	1	OE1/J92	29.53367876
MLL	2	J92/OE3	29.53692115
TLW	1	J92/OE2	29.64824121
BSS	2	JING724/J92	29.65295065
MLL	1	OE1/J92	29.65517241
TLL	2	J92/OE1	29.67581047
TLL	2	JING724/J92	29.84441301
BSS	1	J92/OE1	29.85819852
BSS	1	J92/OE2	29.87923646
BLW	1	OE1/J92	29.89690722
TLW	2	JING724/J92	29.94923858
MLL	2	J92/OE3	29.9734748
EL	2	J92/OE1	30.02364066
EH	2	J92/OE3	30.15359741
TLW	1	OE1/J92	30.34825871
BSS	2	OE1/J92	30.50672182
BLL	1	OE1/J92	30.57530705
TSS	1	OE1/J92	30.63560995
BLW	2	JING724/J92	30.69306931
BLW	1	OE1/J92	30.73170732
MSS	1	OE1/J92	30.77959577
BLW	2	OE1/J92	30.8056872
TLW	2	JING724/J92	30.96446701
MSS	2	JING724/J92	31.13801453
TLL	1	J92/JING724	31.14491593
MLL	1	OE1/J92	31.16970926
MLW	1	OE1/J92	31.28205128
MLW	1	OE1/J92	31.28205128
TLL	1	JING724/J92	31.3755796
BSS	1	J92/OE2	31.42742903
PH	2	J92/OE1	31.51096425
MLL	2	J92/OE3	31.52251608
TSS	1	J92/JING724	31.5380012
MLL	1	JING724/J92	31.6872428
BLW	1	OE1/J92	31.70731707
BLW	2	OE1/J92	31.7535545
EL	2	J92/OE3	31.7535545
PH	2	J92/OE1	31.75675676
MSS	1	J92/OE1	31.76614881
PH	2	OE1/J92	31.87143286
TLW	1	JING724/J92	31.91489362
TLW	1	OE1/J92	31.93717277
PH	1	JING724/J92	31.99339207
BLL	2	OE1/J92	32
MSS	2	J92/OE1	32.37597911
EH	1	OE1/J92	32.51974156
TLW	1	JING724/J92	32.60869565
EH	2	OE1/J92	32.63327948
EL	1	J92/JING724	32.64033264
TSS	2	OE1/J92	32.72567923
TSS	2	J92/OE2	32.8125
TLL	1	JING724/J92	32.90632506
MSS	1	JING724/J92	32.92042042
PH	2	OE1/J92	32.92383292
EH	1	J92/JING724	32.94314381
MLW	2	J92/OE2	33.01886792
MSS	1	J92/JING724	33.2957958
EL	2	J92/OE1	33.33333333
MLL	2	J92/OE1	33.33333333
MLW	1	J92/JING724	33.33333333
MLW	1	OE1/J92	33.33333333
TLW	2	J92/OE2	33.33333333
TLW	1	OE1/J92	33.33333333
MLL	1	OE1/J92	33.42503439
MLL	1	OE1/J92	33.42503439
MLL	1	OE1/J92	33.42503439
EH	1	J92/OE2	33.48765432
BLL	2	JING724/J92	33.50286078
BLL	1	OE1/J92	33.50615684
BLL	2	J92/OE3	33.60881543
MLW	1	J92/OE2	33.6492891
MLL	2	J92/OE3	33.6565097
EL	1	OE1/J92	33.66093366
TLW	1	J92/JING724	33.68421053
MSS	2	J92/OE3	33.80049464
EH	1	OE1/J92	33.81191673
EL	1	J92/JING724	33.88429752
BSS	2	J92/OE3	33.92024858
MSS	2	OE1/J92	33.94255875
MLW	2	JING724/J92	34.05405405
PH	2	OE1/J92	34.09432262
BLW	2	J92/OE3	34.10404624
EH	1	OE1/J92	34.16605437
TSS	2	J92/OE3	34.17588204
MLW	1	OE1/J92	34.29951691
TSS	1	OE1/J92	34.30714568
TSS	2	JING724/J92	34.44918873
TLL	1	JING724/J92	34.45378151
BLW	2	J92/OE1	34.57943925
BLW	2	OE1/J92	34.5971564
EL	2	OE1/J92	34.62469734
EL	1	OE1/J92	34.63414634
TLW	2	J92/OE1	34.63414634
TSS	1	OE1/J92	34.66476462
EL	2	OE1/J92	34.75177305
TLL	2	J92/OE3	34.79181369
