Gene	Median_FPKM	Mean_FPKM
ENSRNA049457014	0.390042773558697	0.455241508665302
ENSRNA049457064	0.246046519328207	0.251616108431884
ENSRNA049457072	0.244350666052573	0.266919362702485
ENSRNA049457187	0.430927707200968	0.46979652614702
ENSRNA049457201	0.196333150151886	0.269189585531927
ENSRNA049457279	0.279020723800528	0.279020723800528
ENSRNA049457302	0.292539270652496	0.318176350743783
ENSRNA049457319	0.237809799184246	0.24343391157429
ENSRNA049457334	0.237591319096714	0.296186551004143
ENSRNA049457359	1.55543212336403	2.1973393988443
ENSRNA049457405	0.400497476979837	0.471932335203933
ENSRNA049457438	0.394742578463656	0.392359766763847
ENSRNA049457460	0.246494092947771	0.284509872570631
ENSRNA049457503	1.98453816153369	2.21951853279392
ENSRNA049457531	5.54494489846037	5.77868269227537
ENSRNA049457554	0.118089659088078	0.125904545330632
ENSRNA049457570	0.138612053176953	0.196105836178596
ENSRNA049457592	0.176115665752818	0.189191632150566
ENSRNA049457729	0.431959700406143	0.669705929122276
ENSRNA049457749	0.598642889766573	0.766738421984472
ENSRNA049457777	0.651731883402645	0.73567004707378
ENSRNA049457806	0.580560513723009	0.637735223189652
ENSRNA049458208	3.49379535865879	3.98157313629084
ENSRNA049458322	0.258720758696183	0.304864027789902
ENSRNA049458390	0.258655933421425	0.283803922612619
ENSRNA049458426	2.28240556529572	2.42028779193723
ENSRNA049458448	15.8184709593571	15.7484571785758
ENSRNA049458467	8.61655563180746	8.78263995245737
ENSRNA049458495	3.36367247669125	3.47754552831269
ENSRNA049458582	6.59567517534214	6.73945317002189
ENSRNA049458634	5.06584439023107	5.23718902286651
ENSRNA049458706	6.52546961847203	6.54603246391632
ENSRNA049458722	6.66710739755568	6.62176738023395
ENSRNA049458758	9.26746082671555	9.33110106978748
ENSRNA049458782	9.82715351174852	10.5984962178349
ENSRNA049458795	5.95564915424356	6.02827029869171
ENSRNA049458812	13.7683310618922	14.1273353430189
ENSRNA049458826	33.1527432873454	33.9445148955386
ENSRNA049458846	3.37508613008861	3.37978435896015
ENSRNA049458857	2.92827833676321	3.49259722580504
ENSRNA049458874	4.7805909704079	4.82462553673816
ENSRNA049458957	12.206507297992	12.7625873133115
ENSRNA049458986	10.3360360034729	10.7924181102727
ENSRNA049459026	0.908847356692525	1.05610929703336
ENSRNA049459041	0.369839075991094	0.369839075991094
ENSRNA049459076	18.9255713256803	19.7756191756342
ENSRNA049459101	6.48993211422843	6.70615076332593
ENSRNA049459132	5.06199274102338	5.31136574526373
ENSRNA049459156	14.6387601930419	14.9443291108858
ENSRNA049459180	3.44344313469926	4.15643741027507
ENSRNA049459199	0.663437053211893	0.758902716023675
