Trait	Var(add)	Var(dom)	h2
ENSRNA049478017	0.131722	1e-06	0.13172424927349
ENSRNA049478113	0.024752	1e-06	0.0247534758676178
ENSRNA049478119	0.185739	1e-06	0.185738610284428
ENSRNA049478122	0.132259	1e-06	0.132258291583396
ENSRNA049478126	0.208901	1e-06	0.208904102436651
ENSRNA049478131	0.193468	1e-06	0.193470031807037
ENSRNA049478136	0.233738	0.170897	0.404635289728543
ENSRNA049478138	0.120159	0.089093	0.209252604104688
ENSRNA049478140	0.245107	0.094941	0.340049122204689
ENSRNA049478144	0.153621	1e-06	0.153624574568647
ENSRNA049478162	0.103063	0.090226	0.193288081568386
ENSRNA049478167	0.107035	1e-06	0.107036831073277
ENSRNA049478177	0.157998	0.030501	0.188497829255415
ENSRNA049478183	0.016749	1e-06	0.0167499655839498
ENSRNA049478193	0.202916	0.05867	0.261586485987682
ENSRNA049478201	0.175874	1e-06	0.175872882930995
ENSRNA049478203	0.112868	1e-06	0.112868604616352
ENSRNA049478212	0.133321	1e-06	0.133323093464404
ENSRNA049478420	0.220676	1e-06	0.220677269501985
ENSRNA049478426	0.657475	0.043775	0.701250161739737
ENSRNA049478428	0.032114	1e-06	0.0321156380333927
ENSRNA049478438	0.062165	0.25596	0.318125333691352
ENSRNA049478482	0.366593	0.314007	0.680600435056502
ENSRNA049478487	0.157539	2e-06	0.157541328396771
ENSRNA049478530	0.268157	1e-06	0.268159863187128
ENSRNA049478534	0.221225	1e-06	0.221227737537804
ENSRNA049478584	0.177363	0.106567	0.283929517170881
ENSRNA049478590	0.086121	1e-06	0.0861223146326829
ENSRNA049478600	0.095424	1e-06	0.095422355773455
ENSRNA049478822	0.308279	2e-06	0.308282011729097
ENSRNA049478881	0.271925	2e-06	0.271926908296026
ENSRNA049478923	0.153221	1e-06	0.153221900576507
ENSRNA049478949	0.60727	0.037067	0.644337263751297
ENSRNA049478956	0.165997	1e-06	0.165996271671268
ENSRNA049478963	0.041384	1e-06	0.0413858361831402
ENSRNA049479006	0.044689	0.204593	0.249281769490218
ENSRNA049479014	0.793841	0.022353	0.816194955817515
ENSRNA049479033	0.507356	1e-06	0.507356950223032
ENSRNA049479090	0.163004	1e-06	0.163003618598505
ENSRNA049479169	0.030778	0.053324	0.0841026855162777
ENSRNA049479185	0.106232	0.004425	0.110658045597979
ENSRNA049479219	0.062212	0.012617	0.0748283887074624
ENSRNA049479257	0.137232	0.088242	0.225473099180348
ENSRNA049479365	0.225365	1e-06	0.225364456494579
ENSRNA049479370	0.748822	0.00721	0.756035587898886
ENSRNA049479381	0.441322	0.032932	0.474253276431748
ENSRNA049479409	0.264221	0.040642	0.304863184798454
ENSRNA049479419	0.314818	1e-06	0.314818450610537
ENSRNA049479424	0.263936	1e-06	0.263937047694192
ENSRNA049479432	0.446239	0.005503	0.451743173114482
ENSRNA049479449	0.081149	1e-06	0.0811510146986866
ENSRNA049479456	0.258504	1e-06	0.258503864361662
ENSRNA049479461	0.325233	2e-06	0.325231796345667
ENSRNA049479467	0.45955	1e-06	0.459549476710237
ENSRNA049479518	0.295504	0.144384	0.439887612173177
ENSRNA049479546	0.097059	1e-06	0.0970580293026112
ENSRNA049479579	0.223248	1e-06	0.223250255530206
ENSRNA049479581	0.735	1e-06	0.735001091080059
ENSRNA049479585	0.230545	1e-06	0.230546935257478
ENSRNA049479595	1e-06	0.198354	0.198355094296711
ENSRNA049479804	0.168902	0.046592	0.215495022391185
ENSRNA049479819	0.382272	0.031719	0.413991508934784
ENSRNA049479889	0.090653	1e-06	0.090655887531125
ENSRNA049997133	0.535439	1e-06	0.535439901341994
ENSRNA049997182	0.361808	0.177788	0.539596233415424
ENSRNA049997276	0.30884	0.082015	0.390856860208508
ENSRNA049997360	0.290048	1e-06	0.290050017238709
ENSRNA049997555	0.571252	0.017535	0.588787006092303
ZeamMp030	0.266516	0.013256	0.2797709308567
ZeamMp032	0.385717	1e-06	0.385717234607574
ZeamMp044	0.450578	0.153255	0.603830403054469
ZeamMp050	0.442953	2e-06	0.442954073750072
ZeamMp051	0.510398	0.135105	0.645503343530207
ZeamMp073	0.52423	2e-06	0.524229621034048
ZeamMp091	0.485349	1e-06	0.48535026259106
ZeamMp092	0.493418	0.033031	0.526446807156045
ZeamMp093	0.281734	1e-06	0.28173653356485
ZeamMp094	0.328787	1e-06	0.328786114972668
ZeamMp095	0.265657	0.000946	0.266603557158878
ZeamMp097	0.240181	0.155945	0.396126758056916
ZeamMp098	0.272814	0.180367	0.453180845577993
ZeamMp101	0.065817	1e-06	0.0658181724041965
ZeamMp128	1e-06	0.005449	0.00545026099925429
ZeamMp134	0.33819	0.052303	0.390492626011705
ZeamMp136	0.428365	0.112113	0.540478929081998
ZeamMp137	0.393239	0.020014	0.413253095246517
ZeamMp152	0.004224	0.165806	0.170029168912873
ZeamMp155	0.309728	1e-06	0.309727350257125
ZeamMp157	0.476464	1e-06	0.476463082025143
ZeamMp159	0.369407	1e-06	0.36940930791096
ZeamMp161	0.189397	1e-06	0.189395966569443
ZeamMp179	0.207214	1e-06	0.20721331300941
ZeamMp180	0.168608	1e-06	0.168610474303902
ZeamMr002	0.713699	0.010995	0.724692702134021
ZeamMr003	0.339102	0.055789	0.39489238134047
ZeamMr004	0.649474	0.053644	0.703117690936445
ZeamMt017	0.220372	0.145475	0.365846353516697
ZemaCp003	0.400917	1e-06	0.400916049252973
ZemaCp019	0.004359	2e-06	0.00436145284789916
ZemaCp020	0.163625	2e-06	0.163628479297831
ZemaCp027	0.048287	1e-06	0.0482878152337781
ZemaCp028	0.099912	2e-06	0.0999139574903493
ZemaCp087	1e-06	0.181326	0.181327208038651
ZemaCt121	0.077654	1e-06	0.077654895109887
ZemaCt138	0.171923	1e-06	0.171923189960731
Zm00001d000001	0.676429	0.098865	0.775294511083208
Zm00001d000002	0.816487	0.031049	0.847534040335523
Zm00001d000004	0.421412	0.100113	0.521492220324115
Zm00001d000005	0.586402	0.132575	0.718982275586049
Zm00001d000006	0.796885	0.087835	0.884721504019325
Zm00001d000008	0.808827	0.070575	0.879399971659643
Zm00001d000012	0.555818	0.014471	0.570288820846865
Zm00001d000017	0.654856	0.007158	0.662014018762639
Zm00001d000018	0.460316	0.006932	0.467249635367064
Zm00001d000019	0.27664	2e-06	0.276641459355844
Zm00001d000020	0.532198	0.15935	0.6915515436495
Zm00001d000021	0.606395	0.009252	0.61564695450515
Zm00001d000023	0.268981	4e-06	0.269006879520198
Zm00001d000028	0.646678	1e-06	0.646671936758893
Zm00001d000029	0.888322	1e-06	0.888334499808096
Zm00001d000030	0.463029	2e-06	0.462971175166297
Zm00001d000034	0.446652	2e-06	0.446658083169569
Zm00001d000035	0.466004	0.022517	0.488526611411741
Zm00001d000037	0.71488	1e-06	0.714882401010808
Zm00001d000038	0.271949	2e-06	0.271947307776152
Zm00001d000039	0.494833	1e-06	0.494837606837607
