Gene	Median_FPKM	Mean_FPKM
ENSRNA049465449	2.93963350883533	3.04379375657121
ENSRNA049465483	0.657387698467688	0.780892416608059
ENSRNA049465509	NA	NA
ENSRNA049465575	15.0164179683551	13.9895113421677
ENSRNA049465590	0.465217260715531	0.518605848484085
ENSRNA049465606	1.59383681664005	1.86910941389778
ENSRNA049465879	0.149303124223949	0.149303124223949
ENSRNA049466083	6.85808609087145	7.44112826489899
ENSRNA049466281	NA	NA
ENSRNA049466300	1.27117807783439	1.53385836337672
ENSRNA049466325	0.12425981830952	0.12425981830952
ENSRNA049466442	0.595843862012944	0.674484963573553
ENSRNA049466569	3.31674568339167	3.42365102973598
ENSRNA049466579	2.88220103641142	3.21357523272317
ENSRNA049466589	0.192795424083586	0.192795424083586
ENSRNA049466617	5.90305076342334	7.1824884003596
ENSRNA049466632	2.8341897881119	3.20817042268809
ENSRNA049466642	4.025877633107	6.05837855682497
ENSRNA049466657	1.97993826235708	2.22113268595657
ENSRNA049466664	1.22674804579527	1.46427358919408
ENSRNA049466676	1.99192121467895	2.26548827681104
ENSRNA049466686	0.347293731508891	0.348053343483197
ENSRNA049466693	0.289724988127534	0.359749238748689
ENSRNA049466701	0.65041756951868	1.11709515732223
ENSRNA049466709	0.545858594750236	0.626271069244573
ENSRNA049466850	0.374938840093572	0.43411830281899
ENSRNA049466858	1.42606037816643	1.32650424834506
ENSRNA049466998	0.338770209573618	0.338770209573618
ENSRNA049467030	0.252373086753027	0.316360037364267
ENSRNA049467046	0.41745091779089	0.41745091779089
ENSRNA049467153	0.251823036968708	0.254125133519502
ENSRNA049467197	0.450354590653746	0.526900597249936
ENSRNA049467206	0.391915837732435	0.603587105330183
ENSRNA049467247	0.449611641497492	0.449611641497492
ENSRNA049467432	0.266483504665998	0.266483504665998
ENSRNA049467439	0.819655919085172	0.912966893862736
ENSRNA049467544	0.347767095980046	0.347767095980046
ENSRNA049467601	0.468224961104977	0.468224961104977
ENSRNA049467624	NA	NA
ENSRNA049467635	0.467073555365641	0.453784360503258
ENSRNA049467653	0.221232789347803	0.221232789347803
ENSRNA049467662	NA	NA
ENSRNA049467670	0.248953276756973	0.347593182279388
ENSRNA049467682	0.288512772752084	0.329131576517519
ENSRNA049467685	0.242393131672533	0.242393131672533
ENSRNA049467695	NA	NA
ENSRNA049467703	0.461052509391782	0.461052509391782
ENSRNA049467718	0.230528284698551	0.230528284698551
ENSRNA049467721	NA	NA
ENSRNA049467728	0.340331616342004	0.340331616342004
ENSRNA049467735	0.235832986588093	0.235832986588093
ENSRNA049467741	NA	NA
ENSRNA049467747	NA	NA
ENSRNA049467760	0.242515851920127	0.242515851920127
ENSRNA049467768	0.233387157857636	0.233387157857636
ENSRNA049467775	NA	NA
ENSRNA049467782	NA	NA
ENSRNA049467788	NA	NA
ENSRNA049467794	NA	NA
ENSRNA049467799	NA	NA
ENSRNA049467811	NA	NA
ENSRNA049467817	NA	NA
ENSRNA049467831	NA	NA
ENSRNA049467836	NA	NA
ENSRNA049467843	0.233387157857636	0.233387157857636
ENSRNA049467850	0.29452615483558	0.29452615483558
ENSRNA049467857	0.231318739181411	0.231318739181411
ENSRNA049467867	0.268341044488474	0.329529329895851
ENSRNA049468138	NA	NA
ENSRNA049468191	NA	NA
ENSRNA049468229	NA	NA
ENSRNA049468238	0.294171013877004	0.346483591691578
ENSRNA049468327	0.620384872938297	0.782259188049137
ENSRNA049468366	0.667728450570626	0.973257370094508
ENSRNA049468514	0.408251861498027	0.57234679376038
ENSRNA049468582	0.461918946320812	0.512558929183373
ENSRNA049468588	0.31133266440148	0.462336729660225
ENSRNA049468771	NA	NA
ENSRNA049468782	0.431645443394012	0.582101440731295
ENSRNA049468787	0.348866727098652	0.353187742768444
ENSRNA049468809	NA	NA
