Gene	CV
Zm00001d000482	47.2326190060548
Zm00001d000501	53.3810664842024
Zm00001d000506	27.5100978021403
Zm00001d000508	64.9258158565385
Zm00001d000522	22.8242971703808
Zm00001d000523	29.5580081434001
Zm00001d000526	23.7568535613082
Zm00001d000551	30.9326782757709
Zm00001d000688	55.9309208241652
Zm00001d000707	21.5466435104027
Zm00001d000709	38.9283172986727
Zm00001d000791	36.9913111168535
Zm00001d000824	125.463330687109
Zm00001d000825	146.518322024254
Zm00001d000849	38.376888608943
Zm00001d000874	61.8561546879485
Zm00001d000896	44.7961185754578
Zm00001d000967	36.9125325619903
Zm00001d000970	24.7746121528457
Zm00001d001006	19.9153724403994
Zm00001d001080	28.1456640863347
Zm00001d001082	50.7307941090317
Zm00001d001083	21.7767875961768
Zm00001d001087	24.9270031782073
Zm00001d001172	24.5677672628443
Zm00001d001230	30.4713867023124
Zm00001d001250	29.5249462344483
Zm00001d001256	38.3311938306375
Zm00001d001276	65.0973842847433
Zm00001d001399	60.0521014758263
Zm00001d001432	44.6070326239929
Zm00001d001471	25.7154097486259
Zm00001d001472	41.6364492639604
Zm00001d001490	25.0018371238217
Zm00001d001491	77.0871062379953
Zm00001d001551	29.2495513339413
Zm00001d001566	28.1270307801536
Zm00001d001688	49.8241049018462
Zm00001d001700	32.6976778588367
Zm00001d001756	50.6060170538083
Zm00001d001763	22.4122059037986
Zm00001d001765	12.8564441297813
Zm00001d001766	22.4514791422742
Zm00001d001767	30.3809385514653
Zm00001d001771	27.8908935036296
Zm00001d001774	65.9400526056555
Zm00001d001779	47.0878980375079
Zm00001d001780	10.4056199100064
Zm00001d001781	35.9432587513357
Zm00001d001784	28.2324142090853
Zm00001d001785	15.9223190265947
Zm00001d001786	15.0395530999832
Zm00001d001787	14.2444377092803
Zm00001d001788	14.2967267729172
Zm00001d001789	16.3667128825579
Zm00001d001790	10.7940036883045
Zm00001d001791	39.0463111643473
Zm00001d001797	19.8437357379462
Zm00001d001798	14.2355960915124
Zm00001d001799	16.0353217643532
Zm00001d001800	16.4930069793487
Zm00001d001802	21.2630843341844
Zm00001d001803	20.1164113643252
Zm00001d001804	20.4114436722659
Zm00001d001806	32.7938211763457
Zm00001d001807	18.9825236831859
Zm00001d001808	10.9224037566492
Zm00001d001809	18.3543111516352
Zm00001d001812	24.9884820594868
Zm00001d001813	17.8344720416329
