line	AGY	EH	ERN	KR	PH
chang72/ji833	168.5605389	173.5543068	16.12005295	36.93582617	320.3085461
chang72/qi35	141.0899219	193.5145915	14.90621462	34.44543449	324.0094523
changK/468-3	183.3100344	126.5139864	17.43756864	39.32218836	308.691132
changK/DM101B	157.3947566	133.8710625	15.90341469	37.57307907	313.789069
chengzi2142/1145	178.1715239	164.6858449	17.20744555	39.2332506	320.0144344
chengzi2142/7146	167.0678654	142.9768494	16.74719936	39.64829348	313.2743734
chengzi2142/d140	204.5814488	166.5344821	17.13073785	42.83522991	334.180817
chong72/20837	168.8131615	125.9893731	17.74439944	33.27442064	287.8091977
chong72/mei68113	175.6637174	129.6203564	19.96892267	37.09874435	290.9932982
Co109/chang72	159.6663776	150.3115691	13.66076908	35.64636779	315.3675431
Co109/huobai	138.4424752	126.7945718	13.90901454	35.73503202	286.7743598
Co109/nan21-3	147.0112048	126.8441763	15.17119816	39.95888965	299.5453964
Co109/shuang741	142.7969424	110.8294551	14.78479289	33.3600842	279.3128751
D1139/H114	147.8785425	128.6873841	13.90901454	35.36445801	267.5399962
D1139/XF134	167.6734199	125.8644652	13.75559915	39.11466692	278.8878079
D1139/zhonger02	179.292504	135.0327061	17.59098404	39.27771948	285.4317943
d140/1145	167.7023081	163.7365448	15.4431685	38.40316483	316.1664723
d140/7146	167.8840001	140.8783965	15.98012239	37.97329899	302.9069342
D15/E28	169.1008472	159.619202	18.06429472	38.91167503	320.4707045
D15/K14	200.664319	161.2383865	20.81270735	40.74519253	328.1270168
D15/yi36	158.1775464	126.5087592	17.64847372	35.98511893	302.7345969
dan598/HBAI	190.4573699	139.1149966	19.2111753	37.849674	318.8270342
dan598/yan156	158.6537641	148.9724293	20.04563037	34.11932936	295.4806125
dan598/ZPON7	181.9291713	153.0694089	19.43196879	36.3724193	330.3573643
DF27/IBB14	175.6032738	137.2061038	14.36926073	41.2788191	302.1716548
DF27/T24	159.9843912	136.1069142	12.60498368	39.2332506	301.7304872
DF32/LH127	181.7467464	130.2862054	13.60218375	42.10890486	292.2453832
DF32/shuangM9B-1	170.7298896	139.1796489	15.05963001	42.56841663	307.4656663
DF32/W182bn	160.2826934	124.3862881	14.67609152	41.5011635	307.8641309
DH65232-DH9/150-4	163.8257913	123.5286872	14.21584534	37.26179691	285.1867012
DH65232-DH9/78551S	172.8415787	102.3318142	15.4431685	36.92086882	286.6082413
DH65232-DH9/PHR30	163.1391225	129.9614448	15.05963001	38.43281076	302.0000896
DM07/2MA22	178.3134501	129.112071	15.28975311	39.09984396	315.2106091
DM07/5707	184.008337	130.1843909	15.5965839	40.07815933	309.613085
DM07/FBHJ	182.5454758	119.9937932	14.36926073	40.34497261	308.225455
DM07/xuan6	180.3272794	145.9496578	16.21024548	39.82616901	325.1368807
DM101B/468-3	183.2373551	139.6667897	15.4431685	38.58104036	314.0341621
DM101B/fu96	189.0620488	134.2083139	16.36366088	39.5297098	317.9066335
DM101B/Ms71	171.7755465	131.685174	15.4431685	39.0109062	310.7008956
DM101B/PHJ40	173.7847381	133.3339585	14.82950692	37.20250507	306.0931448
DM101B/PHR30	155.9639626	134.320731	13.98572224	38.4179878	310.1616907
E28/3335	167.7702111	121.7300132	15.98012239	35.91290754	297.4781215
E28/KP3130	185.0664736	144.3008733	18.74159951	41.18988134	315.4802115
E601/030-1	149.8884496	168.8577693	17.51427634	38.61068628	325.9701973
E601/SC30-1	164.1476442	168.632935	20.65929195	36.8912229	325.4064831
equn3/chong72	189.8806696	138.9797962	17.82110713	39.47041796	300.6030588
equn3/SC11-1	169.291898	135.7821536	15.21304541	41.78279974	302.8334063
equn4/dan598	184.1734446	158.515394	17.43756864	38.65515516	325.1368807
equn4/xingK36	180.0311008	143.6647911	13.67889145	42.89452175	305.3122671
equn4/yu82	184.5940581	133.4047598	15.5198762	41.70868494	306.6738963
F7584/A554	158.4269422	118.4752424	15.74999929	34.66777889	310.6585669
F7584/E28	202.4615236	138.2553303	18.58818411	39.2332506	319.6467947
F7584/huangchangb	182.1579091	140.5036727	16.51707627	39.07019804	327.2201723
F7584/LH162	159.3391283	114.1481029	15.90341469	40.24121189	302.9804621
F7584/longkang1	163.4055032	131.0106713	17.36086095	36.32795042	315.357665
fangyin/8982	158.5422481	145.1252656	14.90621462	34.26755896	278.5446775
fangyin/fu8527	173.1010301	118.1294994	16.74719936	35.42374985	270.7799352
fangyin/liao2204	166.5390223	144.1509838	14.59938382	36.1500749	292.3189112
fangyin/Lp215D	174.1040517	124.5154597	15.82670699	36.2983045	290.4071848
fangyin/M101	185.0620109	129.5367579	15.28975311	36.09078306	294.3041655
fangyin/SC30-1	194.2508417	141.8526782	16.82390706	37.81024643	285.1131733
fangyin/xuan6	174.0411807	145.9246762	15.5198762	38.4921026	294.4512214
FBHJ/5707	171.7179448	123.2913622	13.9693408	39.00266267	310.0636535
FBHJ/Lp215D	172.0819718	112.6741895	14.89411774	39.40911869	307.9558526
fu8527/liao7794	163.3849269	102.9063906	17.20744555	39.47041796	263.6430155
fu8527/PHN29	182.4829175	121.2428724	17.66769174	38.7885618	291.8777435
fu8527/xing230	168.8831361	111.4500919	17.28415325	37.55825611	254.0843836
fu8701/A619	148.6139173	113.2031788	15.42004671	37.65340588	292.0465824
fu8701/D1139	163.9948875	126.5639495	14.29936939	39.81536458	268.2507662
fu8701/equn3	190.6600273	149.2222452	15.3664608	44.00624376	291.2405014
fu8701/FBHJ	161.3192938	120.2186275	13.75559915	40.22638893	301.558922
fu8701/XF134	154.8613954	147.5734607	13.37206066	40.01886749	293.2992837
fu8701/zhonger02	155.5631543	160.1641784	17.01635667	37.38198175	310.9459887
fu96/6	151.8441206	120.9930566	15.86506084	36.98016066	298.7648604
fu96/7236	178.1840491	152.5373771	17.05403016	40.46355629	323.6488362
fu96/757	166.0412343	134.5330745	17.51427634	38.61068628	311.3871563
fu96/BCC03	158.7309284	130.5360212	16.05683008	35.45339577	304.4755302
fu96/E8501	175.3693708	123.9408833	15.5965839	39.12948988	307.441157
