line	AGY	EH	ERN	KR	PH
C8605-2	90.51397658	80.84486215	14.86726799	28.28552632	253.4260228
CAUCHANG72	83.44016147	100.9625966	15.54253352	24.04301243	205.4525961
CAUMo17	74.54091819	95.87472514	11.63700345	23.98987793	248.6196312
CAUZHENG58	70.01927753	65.55821436	12.71858772	20.28875836	177.1908865
chang69	45.34850424	78.79002278	14.88991303	20.36034104	208.7086962
chang72	66.4397621	114.8753123	13.2873327	22.32083132	219.3376009
changK	41.16551572	78.63898095	13.24715999	18.52085945	221.950043
chengzi2142	103.6366169	101.1200626	15.08271371	26.80250106	244.2226712
chong72	68.14864492	87.02470657	15.58542039	14.87311106	199.7755232
Co109	40.89744779	67.72326305	12.30995241	18.07828497	204.2714731
D1139	48.06600603	68.35313042	12.53965634	21.04049757	169.7817594
d140	69.20826774	95.22181089	14.14036353	24.64190894	220.0438783
D15	68.3763809	110.3979176	16.45514058	24.94169167	255.0372324
dan598	60.62881908	95.19548252	17.14560819	18.66271622	217.4332528
DF27	77.48932166	85.90115724	13.35914794	27.14473765	215.6051228
DF32	81.97811486	96.55866753	12.9282565	25.90616711	233.73745
DH65232-DH9	58.45253195	66.8660195	14.43637655	19.38737476	195.8530329
DM07	93.77412182	86.89244655	15.22634419	27.64994406	222.3103568
DM101B	108.0987004	106.9436588	13.21551746	28.44849612	248.5875238
E28	76.90741401	109.1954232	15.16535994	21.61034518	202.546838
E601	28.44216766	103.4675153	14.62269514	10.80745263	240.512199
E8501	63.39561933	70.03852279	13.43096318	24.26017204	235.5518871
equn3	100.6944155	93.10553457	13.86185462	27.9595867	218.9985056
equn4	93.0967829	102.1824253	13.79003938	23.60829281	221.4507511
F7584	90.00512452	89.35325953	15.01089847	29.98041233	260.544674
fangyin	51.21519854	86.29760219	13.92537133	18.05196795	202.2099969
FBHJ	61.46716044	80.91921769	11.8510279	23.11938338	259.9116703
fu8527	75.8686713	64.21400503	16.23175755	24.39054789	189.3287803
fu8701	55.00020782	107.1419402	14.07730034	18.99624722	216.4938634
fu96	75.87646573	96.16210462	15.58542039	20.38149059	231.2409905
gan41	94.81079537	109.9922362	16.94990995	22.80974074	228.8732144
GN4095	67.91421416	91.00171493	13.27857676	21.11592622	203.2193737
H114	81.47942719	96.28603053	13.71822414	22.56528603	207.5117564
hai9-21	63.21001715	93.98001442	14.49175994	17.7309071	209.3816612
han21	60.78519564	144.8202731	14.02065702	18.32855019	310.3080702
han49	53.77003335	78.26720322	13.89748986	18.01333571	195.0294586
HB8229	33.717444	78.25966898	11.63117979	13.37963623	197.0758067
HBAI	26.14005384	48.968773	12.99661687	12.58832063	149.4335884
HHe01	72.26057657	101.0447855	13.43096318	25.84097919	258.7020455
huangchangb	62.98129758	90.02529356	14.2650366	25.10454026	238.2902716
huobai	35.87638064	99.21068201	11.63929411	14.31003463	206.2506582
huotanghuang	85.9464735	106.1237737	12.28191934	27.87810179	225.234598
IBB14	81.59454727	100.1730574	14.93908323	23.57569884	229.6719753
J8606	74.21767299	109.7691695	13.21551746	22.53269207	262.6654968
ji432	66.48938202	107.6872143	12.35373458	20.78891511	222.799354
ji434	93.10454498	104.8121331	17.52443187	24.34165694	248.7934174
ji63	92.28954518	86.15597351	15.29815943	25.98765201	221.0965982
ji833	63.36372104	119.3517575	13.92248835	26.39764856	239.6311045
ji846	98.69845845	110.1385167	12.9282565	29.67076969	270.1937425
jian1495b	86.13015109	101.4308511	16.08812707	29.4915029	239.3880468
K10	69.05231332	81.82406258	12.72213044	19.2225392	202.0727894
K14	43.6899996	70.01373761	17.01059359	19.36549526	174.8004152
K22	59.26277497	86.28520959	15.96345284	19.62216928	202.2743386
KP3130	65.52710514	100.5490818	15.15452895	21.29412152	273.9896432
L061M	64.82518276	98.19448954	14.65182227	21.01707285	210.3170563
L139	71.17149008	82.50394382	14.42762474	19.91923907	236.5514416
L473	63.9725854	86.92242195	15.67966768	18.83361258	237.5834434
lan766-4-2	59.19881026	92.52528915	12.78965253	23.03293278	234.5407862
LH127	90.323315	86.39674291	12.06647362	27.35659841	230.4431529
LH162	56.26106633	88.15649084	13.14370222	27.74772595	195.2868256
LH215	80.28719303	101.0200003	13.14370222	18.21399214	262.8456537
