gid	B1	B10	B11	B14	B15	B16	B17	B18	B19	B20	B21	B23	B24	B25	B26	B29	B3	B30	B35	B36	B37	B4	B41	B44	B45	B46	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B64	B68	B7	B70	B8	B9
ENSRNA049456552	0	0	0	0	0	0	0	0	0.279573858	0	0	0.120561774	0	0.236255711	0	0	0	0	0.304536552	0.294830733	0	0	0.275647241	0	0.288643933	0	0	0	0	0	0.298088708	0.265634115	0	0.205941472	0	0	0.263081742	0	0	0	0.281012849	0	0.250829289	0	0	0.263738219	0	0.304903017
ENSRNA049456636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067378684	0.17163853	0	0.16843091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173460489	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456661	0	0	0.178064743	0	0	0	0.265958019	0	0	0	0	0	0.307093111	0.155772996	0.202136051	0.17163853	0.361492593	0.505292731	0.200793331	0	0.213671401	0	0.5452363	0.58360497	0.190314681	0.367152687	0	0	0.312841101	0	0.196542005	0	0	0	0	0.330309392	0.346920979	0	0.191708411	0	0.185283197	0	0.165381949	0.162785842	0.102804664	0	0	0
ENSRNA049456692	3.202055636	1.344134109	2.826260167	2.746541588	1.680323325	0.932277926	1.266393123	2.40368315	1.170309173	2.852444425	0.166723061	0.336451463	1.787210491	0.824147828	0.641664441	0.908087571	0.382509604	0.891117026	0.212467362	0.822783442	1.356564944	1.084711189	1.15387217	1.646761311	0.805517951	2.525242026	1.103034694	1.532303479	1.390324055	2.544233733	1.247813195	1.11195676	0.604379038	2.298881553	0.898605512	0.873783567	1.468363213	2.653431075	1.419979741	0.238790531	0.588166429	2.838181357	1.924968964	0.516750407	0.761471758	1.840034084	0.776360686	0.850892141
ENSRNA049456702	0.843678875	1.376137302	0.506371613	4.042157188	1.128967234	0.185592365	0.252106038	2.153299489	0.349467323	1.788720358	0.149356075	0.150702218	0.582197357	0.147659819	0.255477509	0.325398046	1.027994562	0.957950803	1.522682759	0	1.012713413	0.48586022	2.067354304	0.737611837	0.360804916	0.348030151	1.48220287	1.0295164	0.711713504	2.08927527	0.372610885	0.996127931	1.263320071	1.544561043	1.127001079	0.469658667	0.986556533	1.867668004	1.090341587	0.213916517	0.175633031	3.220547456	0.940609835	0.925844479	0.584701529	1.813200254	0.347744891	0.381128772
ENSRNA049456719	3.41023882	2.781245917	2.729076484	7.103836889	3.498610039	1.031502828	2.547597862	3.916738438	0.706291852	3.873319272	0.754641223	0.609154227	2.500384438	0.596856532	0.516333491	0.328823289	1.211951483	1.613390826	0.7693555	0.931044421	1.432722976	1.309265435	1.566836946	2.236128517	1.276110018	1.758468131	2.496341676	1.733922358	1.857946833	3.070934751	0.376533104	2.516533721	1.094244152	3.511844056	1.464254034	1.898409771	2.326196458	4.117805819	1.836364778	0.57644872	0.354963599	5.823748973	2.376277477	1.715248719	1.969520939	4.830573691	0.937080968	1.155421961
ENSRNA049456746	0	0.172017163	0.337581075	1.230221753	0.526851376	0.185592365	1.386583211	1.148426394	0.174733661	0.766594439	0.597424301	0.075351109	0.582197357	0.295319638	0.638693772	0.48809707	0.342664854	0.478975402	0.190335345	0.368538417	1.620341461	1.133673846	0.861397627	0.368805919	0	0.348030151	0.823446039	1.5442746	1.660664844	1.329538808	0.372610885	0	0.180474296	0.12871342	1.288001233	0.156552889	0.657704356	0	0.363447196	0.071305506	0	1.017014986	0.470304917	0.308614826	1.266853312	0.49450916	0.347744891	0
ENSRNA049456769	11.66301676	1.981637716	0.972233497	5.905064414	3.395933441	1.069012022	1.331119883	1.240300506	2.180676093	4.170273749	2.150727484	1.374404226	0.558909463	1.701041117	2.146011074	3.748585495	1.315833039	0.919632771	1.279053518	4.06866412	2.333291704	4.508782841	0.661553377	2.301348932	0.692745438	3.174034977	0.790508197	1.811948864	1.309552848	5.287765775	2.503945144	1.275043752	2.252319213	1.853473252	1.854721776	4.20814166	1.262792363	4.889894411	4.710275655	0.410719713	1.686077095	2.278113569	1.203980589	1.036945817	1.403283669	3.481344488	0.44511346	0.365883621
ENSRNA049456789	0	1.20412014	1.350324302	4.042157188	1.430025163	0.463980912	1.764742269	1.86619289	0	1.660954618	1.045492527	0.67815998	1.018845374	0.590639277	0.830301904	0.813495116	0.856662135	1.277267738	0.38067069	1.474153667	1.620341461	1.619534066	2.928751931	1.106417756	0.902012289	0.348030151	0.823446039	1.887446733	1.957212137	1.519472924	1.304138096	1.162149253	0.721897184	0.386140261	2.415002313	1.87863467	2.137539156	2.886396006	1.090341587	0.427833035	0.351266062	2.542537465	1.724451364	1.697381545	1.266853312	1.318691094	1.043234672	0.190564386
ENSRNA049457014	0	0	0	0.499899633	0	0	0.089637703	0	0	0.181711274	0	0.053583011	0	0.315007614	0.681273357	0.231394166	0	0	0	0.393107644	0.288060704	0	0.367529654	0	0	0.742464322	0	0	0	0	0.79490322	0	0	0	0	0.556632495	0	0	0.904579687	0	0.249789199	0	0	0	0	0.117216986	0	0
ENSRNA049457201	0.40496586	0.206420595	0.101274323	0.316342736	0.270952136	0	0	0	0	0	0	0.452106653	0.087329604	0	0	0.097619414	0	0.478975402	0.114201207	0.110561525	0.364576829	0.194344088	0.20673543	0	0.108241475	0	0.098813525	0	0.035585675	0.113960469	0.335349796	0.099612793	0.108284578	0.231684156	0.289800278	0.657522134	0	0.1018728	0.109034159	0.042783303	0.316139455	0.101701499	0	0.092584448	0	0.296705496	0.139097956	0
ENSRNA049457302	0.166996231	0	0.167050429	0	0.07448856	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188373125	0	0	0.080141892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168037609	0	0	0.347644762	0	0	0	0	0	0	0
ENSRNA049457319	0	0	0	0	0.182152697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163395778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049457334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132013761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102169083	0	0	0	0	0	0	0	0
ENSRNA049457359	3.094121176	1.669919423	3.823390158	1.516549448	0.405920803	1.101042345	2.719346032	0.929064049	0.942383791	0.689073653	0.805515912	1.46299681	1.09897928	3.185470256	2.480141209	3.334415936	0.924040055	1.377726998	2.668972028	2.78267209	2.403203065	0.960802233	2.601614405	2.585785317	3.308054059	3.75403309	4.441057288	4.0717952	0.895639466	4.91694609	10.24889265	5.372375359	3.114702455	2.221391163	1.215641614	2.19525849	1.596226301	1.281994789	3.136263441	2.461241728	2.46280924	1.645507393	2.874672754	3.162435074	0.735804171	3.022617788	2.750701156	2.261078556
