ID	P5_J92/OE2	P5_J92/OE1	P5_J92/JING724	P5_J92/OE3	P6_J92/OE1	P6_J92/OE3	P6_J92/JING724	P6_J92/OE2
ENSRNA049464940	0.120130022	0	0	-0.134085999	0	0	0	0
ENSRNA049464954	0.240260045	0	0	0	-0.070446461	-0.070446461	-0.070446461	-0.070446461
ENSRNA049464979	-0.488038528	-0.205371968	0.090793948	-0.238367167	1.8872651	0.135541616	-0.539875912	-0.417316648
ENSRNA049464994	0	0.17858622	-0.143939763	0	-0.147952804	0.349347515	0.140675543	-0.147952804
ENSRNA049465015	0	0	0	0	0.17920272	0	0	0
ENSRNA049465110	-0.014442886	-0.015615594	0.022403282	0.117151285	0.004872919	0.06154509	-0.001375046	0.049505927
ENSRNA049465132	-0.418040648	0.069967641	-0.479180917	-0.36127524	-0.247375853	-0.48179782	-0.513084843	-0.513543997
ENSRNA049465220	0.185293404	-0.41694282	-0.407767165	-0.194698372	0.763534762	-0.075997986	-0.709971921	-0.36916583
ENSRNA049465281	-0.349422543	-0.458581002	-0.00688066	-0.183177323	0.534713773	0.203770256	-0.695425338	0.038945063
ENSRNA049465355	-0.073944298	-0.156670647	0.111458873	-0.01572973	0.676333665	0.093030573	-0.161264975	-0.107165323
ENSRNA049465399	-0.014501321	-0.10029022	0.005910054	0.220253994	1.128562863	0.167575342	-0.177851564	-0.22796388
ENSRNA049465410	0.003970281	-0.4170446	0.243776435	-0.139468597	0.459864677	0.157979026	-0.371571568	-0.456599732
ENSRNA049465449	-0.265984308	-0.039612606	-0.301004292	0.479972824	1.045601996	0.079088886	-0.27564778	-0.187096627
ENSRNA049465483	-0.097426651	-0.050332052	-0.345552819	-0.005807683	0.333383042	0.733125725	-0.085470647	0.095174578
ENSRNA049465575	0	0	0	0	0	0	0	0
ENSRNA049465590	-0.06771414	-0.018007413	0.185528849	0.07569448	0.572246476	-0.18585946	0.047729836	-0.068821844
ENSRNA049465606	-0.308574349	-0.208025483	-0.066953718	-0.446279278	0.08563789	0.343095185	0.181131702	0.048950201
ENSRNA049465879	0	0	0	0	0	0.040184699	0	0
ENSRNA049466083	-0.31876666	-0.306253319	-0.410828018	-0.211266998	0.710703299	-0.163967937	-0.553712989	-0.376491808
ENSRNA049466300	-0.568096742	0.076174784	0.050514319	-0.125035776	0.496462765	-0.078904015	-0.059442335	0.840560717
